Out degree min,Number of cities
0,60
100,40
200,25
300,16
400,18
500,11
600,10
700,11
800,13
900,5
1000,5
1100,4
1200,5
1300,3
1400,4
1500,3
1600,3
1700,4
1800,5
1900,2
2100,5
2200,1
2300,1
2400,2
2700,4
2800,1
3000,2
3100,2
3300,2
3400,1
3500,2
3600,1
3700,1
3800,1
4000,1
4300,2
4400,1
4700,2
4900,1
5000,1
5300,1
5500,1
5600,1
6300,1
6400,1
6900,1
7700,2
7900,1
8000,2
8400,1
8700,1
9000,1
9100,1
9800,1
10000,1
10300,2
11200,1
12000,1
12200,1
12500,1
14800,1
17300,1
17900,1
19500,1
20500,1
20700,1
21700,1
22000,1
22700,1
23300,1
23900,1
24700,1
26000,1
27000,1
29100,1
30300,1
37000,1
38600,1
39500,1
42600,1
50200,1
71900,1
73300,1
